"title","source","publishedAt","sentiment","sentiment_score"
"Our Favorite Afropop Moments of 2025 So Far","Rolling Stone","2025-06-30T21:32:30Z","positive","0.4588"
"Bozdağ Film Platolari in İstanbul، Turkey","Atlas Obscura","2025-06-30T20:30:00Z","neutral","0.0"
"The Fungus That May Have Caused The ‘Curse Of King Tut’s Tomb’ Just Showed Promising Results In Treating Cancer","Allthatsinteresting.com","2025-06-30T19:45:37Z","negative","-0.4019"
"Now It’s Murder: First Victim of Illegal Immigrant’s Molotov Attack on Jewish Group Dies","Legalinsurrection.com","2025-06-30T19:32:36Z","negative","-0.926"
"Amazing Archaeological Discoveries (40 PICS)","Izismile.com","2025-06-30T18:53:35Z","positive","0.5859"
"82-Year-Old Jewish Woman Dies From Injuries Suffered in Anti-Semitic Colorado Terror Attack","Washington Free Beacon","2025-06-30T18:30:04Z","negative","-0.8658"
"Amman’s Pitching Platforms Titles Catches the Range، Depth and Nuance of New Titles from Emerging Arab World Talent","Variety","2025-06-30T17:55:00Z","positive","0.4215"
"At least 58 killed as Israel intensifies offensive in Gaza","ABC News (AU)","2025-06-30T17:46:27Z","negative","-0.8176"
"A Story About Farting 2 – Ancient Egypt’s Gassy Apocalypse is Coming","Gamedev.net","2025-06-30T17:36:46Z","neutral","0.0"
"The 10 Most Stylish Handheld Fans to Look and Feel Cool This Summer","WWD","2025-06-30T17:10:45Z","positive","0.3182"
"What’s Going On At HGTV? Another Series Got Canceled، And It’s The Fourth Time It’s Happened Recently","CinemaBlend","2025-06-30T16:57:24Z","neutral","0.0"
"Gabe's Reading List","Penny-arcade.com","2025-06-30T16:55:00Z","neutral","0.0"
"Scribble-based forecasting and AI 2027","Dynomight.net","2025-06-30T16:15:29Z","neutral","0.0"
"Israel kills 85 Palestinians، bombing across Gaza amid new ceasefire push","Al Jazeera English","2025-06-30T16:12:59Z","negative","-0.5423"
"The gay Wimbledon tennis star turned spy who was imprisoned by the Nazis","Thepinknews.com","2025-06-30T16:07:08Z","negative","-0.4588"
"The Iran-Israel War Is Over. But the Arab World Is Grappling With Its Consequences","Time","2025-06-30T16:03:20Z","negative","-0.3506"
