"title","source","publishedAt","sentiment","sentiment_score"
"Gaza war must continue – Israeli minister","RT","2025-07-01T21:02:06Z","negative","-0.5994"
"Joseph's Well Releases 2025 Update on Faith-Based Water Security Innovation Amid Rising Drought and Global Instability","GlobeNewswire","2025-07-01T20:28:00Z","positive","0.7269"
"Katarzyna Sidło on EU-Egypt Relations","Europa.eu","2025-07-01T20:05:12Z","neutral","0.0"
"Archaeologists make 90 metre long Ancient Roman discovery buried on the ocean floor","LADbible","2025-07-01T20:04:26Z","neutral","0.0"
"Rumor: Is Lucasfilm quietly planning an Indiana Jones reboot?","JoBlo.com","2025-07-01T19:39:52Z","neutral","0.0"
"Marcella Hazan biography and career timeline","PBS","2025-07-01T19:39:03Z","neutral","0.0"
"Qatar presents Israel، Hamas with modified Witkoff hostage deal proposal، aims to reach ceasefire","Yahoo Entertainment","2025-07-01T19:29:13Z","neutral","0.0258"
"A Blockbuster Exhibition in London Charts the Artistic Evolution of Cartier","Observer","2025-07-01T19:26:54Z","positive","0.5994"
"'This won't be the end of the animosity': The story of 13 US presidents and Iran","ABC News (AU)","2025-07-01T18:37:05Z","negative","-0.4404"
"Holy Relics، Holy Places، Wholly Fiction","Skeptic.com","2025-07-01T18:31:58Z","neutral","0.0"
"Carotenoids Market: Rising Demand for Natural Ingredients and Wellness Products Fuels Global Growth","GlobeNewswire","2025-07-01T18:26:00Z","positive","0.7579"
"What's Coming To Disney+ In July 2025? Miley Cyrus & More","Elite Daily","2025-07-01T17:44:38Z","neutral","0.0"
"Christians Among Most Likely to Ditch Their Religion","Newsweek","2025-07-01T17:32:37Z","neutral","0.0"
"Sudanese fleeing war are at risk of worsening hunger in neighbouring nations، UN warns","The Times of India","2025-07-01T17:26:35Z","negative","-0.886"
"Submerged Blocks of Alexandria's Ancient Lighthouse Lifted from Seafloor","Archaeology","2025-07-01T17:00:00Z","negative","-0.2263"
"Ammonia Market Size Volume to Reach 190.20 Million Tons By 2034","GlobeNewswire","2025-07-01T16:20:00Z","neutral","0.0258"
"Multipolar World Getting Stronger with BRICS?","Globalresearch.ca","2025-07-01T16:05:30Z","positive","0.3818"
"By sacrificing Palestine، Europe betrays itself","Al Jazeera English","2025-07-01T16:03:57Z","negative","-0.5423"
"Tech Support - Paleontologist Answers Fossil Questions","Wired","2025-07-01T16:00:00Z","positive","0.4019"
"North America and Global Gaming Business Directory 2025 | Access Contact Info for 20،000 North American Gaming Executives and Profiles of 9،600 Gaming Properties Worldwide","GlobeNewswire","2025-07-01T15:10:00Z","neutral","0.0"
"7 Dreamworks Movies Perfect For a Live-Action Remake After How to Train Your Dragon","ComicBook.com","2025-07-01T15:08:00Z","positive","0.5719"
"Book Review: Shadi Hamid’s Excellent ‘The Problem Of Democracy’","Forbes","2025-07-01T15:00:00Z","positive","0.25"
"Why Southeast Asia Is Flocking to BRICS","Foreign Policy","2025-07-01T14:38:16Z","neutral","0.0"
"A Lesson From Rome: You Cannot Welcome Armed، Unassimilated Enemies and Expect to Survive","Freerepublic.com","2025-07-01T14:13:04Z","negative","-0.6888"
"Imidacloprid decreases energy production in the hemolymph and fat body of western honeybees even though، in sublethal doses، it increased the values of six of the nine compounds in the respiratory and citric cycle","Plos.org","2025-07-01T14:00:00Z","positive","0.7096"
"Prevalence and antimicrobial resistance of Salmonella and pathogenic E. coli in broiler farms، Wakiso district، Uganda","Plos.org","2025-07-01T14:00:00Z","neutral","0.0"
"The Sex-Workplace Novel Has Arrived","The Atlantic","2025-07-01T13:50:00Z","positive","0.3182"
"Israel Cannot Invade Iran، But It Can Attempt An ‘Air Occupation’","Forbes","2025-07-01T13:23:26Z","neutral","0.0"
"From Roman drains to ancient filters، these artefacts show how solutions to water contamination have evolved","The Conversation Africa","2025-07-01T13:10:27Z","positive","0.1779"
"With Cappadocia Providing A Magical Backdrop، Turkish Series ‘Valley Of Hearts’ Is Finding New “Dizi” Fans All Around The World","Deadline","2025-07-01T13:00:00Z","neutral","0.0"
"How Middle East instability could influence African nations","DW (English)","2025-07-01T12:04:00Z","neutral","0.0"
"How Middle East conflicts could destabilize African nations","DW (English)","2025-07-01T12:04:00Z","negative","-0.3818"
"How Middle East instability could rattle African nations","DW (English)","2025-07-01T12:04:00Z","neutral","0.0"
"Scholarship is Not Merely Skepticism","Patheos","2025-07-01T11:53:17Z","positive","0.1877"
"Automotive Tire Pressure Monitoring System Market Set to Hit USD 8.94 Billion in 2024، Accelerating Ahead with a Robust 12.91% CAGR Through 2032 | AnalystView Market Insights","GlobeNewswire","2025-07-01T11:21:00Z","positive","0.0516"
"Man accused of gathering information for Iran on Jews in Berlin arrested in Denmark، officials say","Freerepublic.com","2025-07-01T10:55:58Z","negative","-0.6486"
"India’s Turkey Travel Slumps in May Amid Diplomatic Backlash","Skift","2025-07-01T10:49:51Z","neutral","0.0"
"Calendar","Acm.org","2025-07-01T10:00:00Z","neutral","0.0"
